158	814	0	19
373	668	0	20
309	868	1	20
43	254	1	21
428	633	0	22
134	693	3	22
202	864	1	23
192	583	3	24
90	396	6	25
549	639	4	25
297	869	6	27
819	916	4	28
54	171	8	29
249	574	8	29
637	749	11	32
195	536	12	33
63	564	12	33
71	725	13	33
13	771	3	34
17	883	15	34
240	328	0	34
321	870	14	34
27	589	14	34
413	785	16	35
417	598	14	35
86	368	3	35
830	886	15	35
45	262	13	36
648	933	12	36
229	786	18	37
229	512	13	37
324	835	15	37
216	526	17	37
444	876	19	38
20	26	15	38
506	937	15	38
711	889	20	39
202	908	20	39
92	183	17	39
512	786	18	39
164	518	19	40
404	584	14	40
346	858	23	42
55	299	23	42
394	949	17	42
482	494	21	43
189	671	24	43
413	991	22	43
121	584	23	43
51	645	20	43
51	701	23	43
533	891	23	43
131	550	23	43
393	577	24	43
396	450	15	43
951	987	24	43
509	732	23	43
140	995	21	43
550	622	24	43
294	313	18	43
448	716	24	44
561	649	24	44
89	295	14	44
16	883	24	44
535	596	24	44
131	622	24	44
179	893	24	44
381	993	26	45
459	641	26	45
214	810	24	45
107	814	24	45
751	932	19	46
715	933	27	46
384	903	27	46
685	921	24	46
245	915	27	46
24	893	26	46
293	363	23	46
700	910	27	46
183	708	22	46
702	932	19	46
630	904	27	47
365	718	26	47
99	111	24	47
14	63	22	47
909	918	24	47
469	730	24	47
559	980	26	47
30	655	23	47
756	818	24	47
934	967	22	47
135	479	19	47
232	911	25	47
232	619	26	47
56	681	22	47
592	891	26	47
417	786	24	47
334	680	24	47
158	219	27	47
250	862	24	47
429	925	21	47
790	931	24	47
617	712	25	47
707	709	27	47
46	355	28	48
605	696	29	48
352	597	25	48
205	388	27	48
474	599	24	48
252	927	27	48
956	984	23	48
440	974	28	48
108	928	22	48
367	405	29	48
702	751	17	48
2	216	27	49
188	782	24	49
188	885	22	49
343	606	25	49
717	877	22	49
17	149	27	49
688	968	23	49
619	911	26	49
289	437	27	49
366	997	24	49
183	202	29	49
79	261	30	50
782	885	24	50
637	929	31	50
645	701	23	50
501	656	23	50
362	593	29	50
548	586	23	50
844	861	30	50
114	830	25	52
537	627	32	52
290	370	30	52
25	938	34	53
112	272	32	54
515	738	35	54
298	543	36	56
502	654	35	56
175	689	38	57
4	498	37	58
454	476	37	58
31	895	13	59
349	552	23	60
874	938	40	61
594	910	44	63
344	376	8	63
471	586	34	63
712	839	45	64
572	677	44	64
325	609	43	64
7	811	48	67
210	530	49	68
811	892	49	68
80	116	47	69
600	836	39	69
263	564	43	70
433	980	49	70
141	935	49	70
626	704	50	70
412	916	42	71
106	286	52	71
578	688	50	72
354	512	54	73
626	760	52	73
780	858	56	75
493	585	57	76
696	905	57	76
34	523	57	76
406	816	57	76
805	846	58	77
142	486	48	77
740	870	57	79
391	865	60	79
282	828	48	79
134	925	60	79
238	875	61	80
769	963	61	80
709	949	57	81
848	890	55	81
644	868	59	82
272	645	61	83
378	430	63	84
270	685	61	84
241	872	63	84
325	782	64	84
825	997	63	85
160	500	66	85
100	752	65	85
6	643	68	91
98	731	70	91
85	792	72	93
50	179	72	93
162	535	75	94
74	619	74	95
307	548	74	95
188	529	77	96
25	519	74	96
263	604	77	97
386	847	78	97
276	400	81	100
769	843	81	101
771	886	83	102
148	397	84	103
268	586	84	103
590	625	83	104
280	591	86	105
428	633	81	105
281	744	86	105
281	376	86	105
281	344	86	105
471	532	83	105
360	615	80	105
376	744	82	106
344	744	84	106
51	562	83	106
344	376	84	107
13	771	89	108
322	512	89	108
140	995	89	108
240	730	84	109
280	844	88	109
328	730	84	109
603	665	88	110
202	864	89	111
869	948	83	113
240	793	93	113
328	793	93	113
73	312	92	113
800	996	95	114
856	962	96	115
416	842	87	115
242	528	95	115
80	116	98	117
229	705	95	117
229	580	96	117
88	229	98	117
102	618	96	117
141	590	95	117
549	639	91	117
737	908	97	117
448	975	97	118
560	811	98	118
155	207	98	118
31	895	92	118
231	801	98	119
62	424	99	119
107	283	99	119
378	430	97	120
88	705	98	120
88	580	98	120
519	840	102	121
195	536	95	121
580	705	96	121
186	752	99	122
787	818	103	122
571	794	100	122
219	573	99	122
682	784	102	123
262	448	105	124
86	368	95	124
106	809	104	124
114	886	106	125
123	224	103	125
200	921	106	125
710	770	107	126
416	932	107	126
233	401	106	126
829	952	105	126
54	755	106	126
362	368	107	126
30	776	107	126
848	890	106	126
368	737	107	126
343	886	107	127
198	404	108	127
55	125	107	127
63	530	108	127
176	593	105	127
176	542	107	127
398	415	106	127
439	720	106	127
80	631	107	128
192	702	108	128
156	448	109	128
83	244	109	128
490	568	108	128
605	696	109	128
14	707	108	128
14	449	108	128
384	521	109	128
347	698	109	128
56	395	107	128
315	667	109	128
315	990	109	128
242	815	108	128
538	639	109	128
429	631	109	128
614	617	107	128
394	855	108	128
320	783	109	128
320	946	109	128
